"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"EFCAB11"	"EFCAB11"	-1.01996352948258	0.602426983069563	-0.0543963448098542	0.363310297257307	-0.179016629862051	"S01"	0.602426983069563	"IS02"
"NOVA1"	"NOVA1"	-1.06296889235506	0.60166738687584	0.0396162790362752	0.316248076630699	-0.163498603773059	"S01"	0.60166738687584	"IS02"
"MRPS30"	"MRPS30"	-0.121217640984318	0.601066240663149	-0.793134556369923	0.323051714674016	-0.315634846587829	"S01"	0.601066240663149	"IS02"
"KPNA2"	"KPNA2"	-0.446739907835895	0.600516800160577	0.293198877439225	0.104444194714843	-0.81145531223048	"S01"	0.600516800160577	"IS02"
"ITGB3BP"	"ITGB3BP"	-0.346823260172545	0.599776479596517	-0.507192278923742	0.410327730122333	-0.500228897498761	"S01"	0.599776479596517	"IS02"
"CHMP5"	"CHMP5"	-0.413983547347547	0.598130698645626	0.0677099317660873	-0.305648497662163	-0.00321808421718916	"S01"	0.598130698645626	"IS02"
"ZGRF1"	"ZGRF1"	-0.269265931784936	0.596245692053497	-0.415261566045679	0.436027553753028	-0.71826254429167	"S01"	0.596245692053497	"IS02"
"UTP18"	"UTP18"	-0.825622386725167	0.594069302128085	-0.190388140073978	0.481893099857467	-0.408370898896389	"S01"	0.594069302128085	"IS02"
"ZBTB41"	"ZBTB41"	-0.343471574267904	0.593874532094917	-0.516856806854973	0.309872782444416	-0.33897799260705	"S01"	0.593874532094917	"IS02"
"TNPO1"	"TNPO1"	-0.81577912373559	0.593752125358201	-0.195937789641568	0.300485335072421	-0.14868469951891	"S01"	0.593752125358201	"IS02"
"AK6"	"AK6"	-0.605591666846103	0.593450164305492	-0.297097729305466	0.122148284014205	-0.0121995444320967	"S01"	0.593450164305492	"IS02"
"VRK2"	"VRK2"	-0.84281342352077	0.592995769540811	-0.00699755597240137	0.288359991088029	-0.304516615440736	"S01"	0.592995769540811	"IS02"
"HAT1"	"HAT1"	-1.00141362897027	0.590125807604487	0.0119119382908884	0.194022621210721	-0.00770885875305875	"S01"	0.590125807604487	"IS02"
"WBP4"	"WBP4"	-0.927971229874782	0.587487952618333	-0.437065893224478	0.436496648347538	0.0474559069426284	"S01"	0.587487952618333	"IS02"
"MED21"	"MED21"	-0.65045902428347	0.587281344138247	-0.162867561546074	0.244826728916218	-0.277772993822629	"S01"	0.587281344138247	"IS02"
"TMCC1"	"TMCC1"	-1.00228071361874	0.586670119760673	-0.219548415651653	0.230445531868126	0.195590588028762	"S01"	0.586670119760673	"IS02"
"CWF19L2"	"CWF19L2"	-0.213136134675242	0.584527765434048	-0.484338937335024	0.583930577355079	-0.904766099440278	"S01"	0.584527765434048	"IS02"
"ACER3"	"ACER3"	-0.656866453244795	0.582994989583717	-0.362417912271108	0.165770499743276	0.0664402886354556	"S01"	0.582994989583717	"IS02"
"COMMD10"	"COMMD10"	-0.974199071860573	0.581274812438061	-0.0517502293302216	0.397769098346976	-0.25331747162307	"S01"	0.581274812438061	"IS02"
"ZNF22"	"ZNF22"	-1.19559938503178	0.580603994788475	-0.171380812634973	0.364389598424487	0.171282841120573	"S01"	0.580603994788475	"IS02"
"EXOC5"	"EXOC5"	-0.53421016695813	0.578933151405263	-0.285573887100881	0.21319488443538	-0.216175590993211	"S01"	0.578933151405263	"IS02"
"DDHD1"	"DDHD1"	0.229015955340759	0.576710552303827	-0.489793857844121	0.308776836300102	-0.977699919500357	"S01"	0.576710552303827	"IS02"
"PAPD4"	"PAPD4"	-0.710763645466026	0.576415464503881	-0.311986422510715	0.327975835682077	-0.155389806184882	"S01"	0.576415464503881	"IS02"
"PPP4R2"	"PPP4R2"	-1.02600890302881	0.576319017753504	0.153797537225403	0.420345463952355	-0.444321693230154	"S01"	0.576319017753504	"IS02"
"ETFA"	"ETFA"	-0.542577557373668	0.575810066968886	-0.558436164061338	0.271255517854367	0.00828882087771666	"S01"	0.575810066968886	"IS02"
"BTF3L4"	"BTF3L4"	-0.192824370437661	0.574913218044362	-0.657158220775102	0.183892160168946	-0.144300683182449	"S01"	0.574913218044362	"IS02"
"SDHD"	"SDHD"	0.0392188605990533	0.574471729766063	-0.222946619228209	-0.0388950396308095	-0.546674305321007	"S01"	0.574471729766063	"IS02"
"XKR9"	"XKR9"	-0.808440072298563	0.573699815644557	0.110571414063124	-0.0993934134579691	0.121621402507867	"S01"	0.573699815644557	"IS02"
"MRPS21"	"MRPS21"	-0.963074301568812	0.572992205189729	0.214874387628554	0.258349990980533	-0.339712940429814	"S01"	0.572992205189729	"IS02"
"NEDD1"	"NEDD1"	-0.504415111411802	0.572131900585601	-0.25609530942667	0.445852384469082	-0.610427678517819	"S01"	0.572131900585601	"IS02"
"HMGN1"	"HMGN1"	-0.0659320605983987	0.571879276381085	-0.398308210439403	0.433528226377654	-0.924516247648699	"S01"	0.571879276381085	"IS02"
"ZBTB26"	"ZBTB26"	0.135520650725864	0.570729353632923	-0.962361468883242	0.452070189124409	-0.562762097966039	"S01"	0.570729353632923	"IS02"
