"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"TNS1"	"TNS1"	1.34003954324454	-1.09834187457628	-0.486427036432563	"S01"	1.34003954324454	"IS01"
"PARVA"	"PARVA"	1.33653427061894	-0.768152790079461	-0.839229369636392	"S01"	1.33653427061894	"IS01"
"RARRES2"	"RARRES2"	1.33592322317792	-0.786938782620606	-0.818144001632744	"S01"	1.33592322317792	"IS01"
"SGCD"	"SGCD"	1.3348910192326	-0.339109963433768	-1.3012937657791	"S01"	1.3348910192326	"IS01"
"KCNJ8"	"KCNJ8"	1.3325876072698	-0.591308332016677	-1.02559929605634	"S01"	1.3325876072698	"IS01"
"CRISPLD2"	"CRISPLD2"	1.33155810908271	-0.624891655216074	-0.987983977897357	"S01"	1.33155810908271	"IS01"
"MAP1B"	"MAP1B"	1.33150876310492	-0.77097921542678	-0.82989182859353	"S01"	1.33150876310492	"IS01"
"CTGF"	"CTGF"	1.33148342527253	-0.677530915435657	-0.930948034591922	"S01"	1.33148342527253	"IS01"
"CPE"	"CPE"	1.33145393848173	-0.55681159566051	-1.06149953132251	"S01"	1.33145393848173	"IS01"
"CRABP2"	"CRABP2"	1.32838752047612	-0.51989106014362	-1.0976064846148	"S01"	1.32838752047612	"IS01"
"GFPT2"	"GFPT2"	1.32832634009211	-0.932055821241045	-0.651670049020778	"S01"	1.32832634009211	"IS01"
"CPXM2"	"CPXM2"	1.32712595185833	-0.505111464248921	-1.11201783909822	"S01"	1.32712595185833	"IS01"
"EDNRA"	"EDNRA"	1.32571009305896	-0.789781320053219	-0.802306396348958	"S01"	1.32571009305896	"IS01"
"LAMA4"	"LAMA4"	1.32556048276758	-0.92272981916189	-0.658302156569467	"S01"	1.32556048276758	"IS01"
"SLIT3"	"SLIT3"	1.32137959744731	-0.593716874776904	-1.00898792876673	"S01"	1.32137959744731	"IS01"
"OLFML3"	"OLFML3"	1.3190098696654	-0.503354831890643	-1.10377593868994	"S01"	1.3190098696654	"IS01"
"ISLR"	"ISLR"	1.31857578230932	-0.518074343247844	-1.08731062964982	"S01"	1.31857578230932	"IS01"
"LOX"	"LOX"	1.3180687550432	-1.03711017744889	-0.525209069820954	"S01"	1.3180687550432	"IS01"
"C1R"	"C1R"	1.31677676041748	-0.597806332360658	-0.99881228414324	"S01"	1.31677676041748	"IS01"
"DSTN"	"DSTN"	1.31499702414097	-0.488642403819688	-1.11467654223982	"S01"	1.31499702414097	"IS01"
"POSTN"	"POSTN"	1.31369036294877	-0.950710978575795	-0.613200168699979	"S01"	1.31369036294877	"IS01"
"CDR2L"	"CDR2L"	1.31357741003593	-0.228840353392614	-1.39394388485669	"S01"	1.31357741003593	"IS01"
"PLEKHA5"	"PLEKHA5"	1.31228138654724	-0.600873766013885	-0.989876505500942	"S01"	1.31228138654724	"IS01"
"CD109"	"CD109"	1.31151469666491	-0.589798202163499	-1.0008994343679	"S01"	1.31151469666491	"IS01"
"NAV1"	"NAV1"	1.31084470219808	-0.803748696075649	-0.768620848597816	"S01"	1.31084470219808	"IS01"
"LTBP2"	"LTBP2"	1.3097787390718	-0.969275596818285	-0.588229756792866	"S01"	1.3097787390718	"IS01"
"C1S"	"C1S"	1.30974998308187	-0.826970626418507	-0.742132483710897	"S01"	1.30974998308187	"IS01"
"PDZRN3"	"PDZRN3"	1.30788032877329	-0.733555494961614	-0.840848087099824	"S01"	1.30788032877329	"IS01"
"DCHS1"	"DCHS1"	1.30439384697661	-0.742688615370299	-0.826611487624215	"S01"	1.30439384697661	"IS01"
"SFRP2"	"SFRP2"	1.30398856515633	-0.242723390724914	-1.36694332736738	"S01"	1.30398856515633	"IS01"
"PDGFRL"	"PDGFRL"	1.30249217382289	-0.355154915698305	-1.24345037702182	"S01"	1.30249217382289	"IS01"
"LRRC15"	"LRRC15"	1.30101628297341	-0.406656430336781	-1.18589419466523	"S01"	1.30101628297341	"IS01"
"HSPB6"	"HSPB6"	1.2978730481396	-0.446920351688302	-1.13841072789265	"S01"	1.2978730481396	"IS01"
"KANK2"	"KANK2"	1.29562583570728	-0.961213510032264	-0.579264969973029	"S01"	1.29562583570728	"IS01"
"JAG1"	"JAG1"	1.29473492757178	-0.816573304765922	-0.734616465941456	"S01"	1.29473492757178	"IS01"
"NFIX"	"NFIX"	1.29402637103185	-0.849374485157659	-0.698248292118893	"S01"	1.29402637103185	"IS01"
"ANXA1"	"ANXA1"	1.2933927337893	-0.846052656340157	-0.701049871205238	"S01"	1.2933927337893	"IS01"
"TIMP3"	"TIMP3"	1.2910464237595	-0.676011122355427	-0.882060579668268	"S01"	1.2910464237595	"IS01"
