"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"TFB1M"	"TFB1M"	0.72579362697554	-0.72579362697554	"S01"	0.72579362697554	"IS01"
"RPRD1A"	"RPRD1A"	0.724257112196542	-0.724257112196542	"S01"	0.724257112196542	"IS01"
"RPL38"	"RPL38"	0.723442503769651	-0.723442503769651	"S01"	0.723442503769651	"IS01"
"SNX2"	"SNX2"	0.723254043925748	-0.723254043925748	"S01"	0.723254043925748	"IS01"
"LSP1"	"LSP1"	0.722154140645279	-0.722154140645279	"S01"	0.722154140645279	"IS01"
"AIMP1"	"AIMP1"	0.721581988124304	-0.721581988124304	"S01"	0.721581988124304	"IS01"
"LRWD1"	"LRWD1"	0.720027611157969	-0.720027611157969	"S01"	0.720027611157969	"IS01"
"PIAS4"	"PIAS4"	0.718401249041585	-0.718401249041585	"S01"	0.718401249041585	"IS01"
"RFX1"	"RFX1"	0.715771172500352	-0.715771172500352	"S01"	0.715771172500352	"IS01"
"POLR2G"	"POLR2G"	0.714097087879293	-0.714097087879293	"S01"	0.714097087879293	"IS01"
"METTL23"	"METTL23"	0.711786621918196	-0.711786621918196	"S01"	0.711786621918196	"IS01"
"CHKB.CPT1B"	"CHKB.CPT1B"	0.711366664385959	-0.711366664385959	"S01"	0.711366664385959	"IS01"
"EIF2B4"	"EIF2B4"	0.71048444779299	-0.71048444779299	"S01"	0.71048444779299	"IS01"
"PKIG"	"PKIG"	0.706174179659002	-0.706174179659002	"S01"	0.706174179659002	"IS01"
"MTG1"	"MTG1"	0.704815586759965	-0.704815586759965	"S01"	0.704815586759965	"IS01"
"C6orf163"	"C6orf163"	0.704208464414474	-0.704208464414474	"S01"	0.704208464414474	"IS01"
"UPF3B"	"UPF3B"	0.702408784239	-0.702408784239	"S01"	0.702408784239	"IS01"
"COMMD1"	"COMMD1"	0.70208463800751	-0.70208463800751	"S01"	0.70208463800751	"IS01"
"ECH1"	"ECH1"	0.70076070560488	-0.70076070560488	"S01"	0.70076070560488	"IS01"
"PITPNM1"	"PITPNM1"	0.698346661875146	-0.698346661875146	"S01"	0.698346661875146	"IS01"
"BORCS6"	"BORCS6"	0.697199185276748	-0.697199185276748	"S01"	0.697199185276748	"IS01"
"AKAP8L"	"AKAP8L"	0.695204380890227	-0.695204380890227	"S01"	0.695204380890227	"IS01"
"FAU"	"FAU"	0.689929386142414	-0.689929386142414	"S01"	0.689929386142414	"IS01"
"VN1R1"	"VN1R1"	0.68822002115208	-0.68822002115208	"S01"	0.68822002115208	"IS01"
"CBFA2T3"	"CBFA2T3"	0.684250422258923	-0.684250422258923	"S01"	0.684250422258923	"IS01"
"PUM1"	"PUM1"	0.682391342366496	-0.682391342366496	"S01"	0.682391342366496	"IS01"
"DNAJC4"	"DNAJC4"	0.681919956847943	-0.681919956847943	"S01"	0.681919956847943	"IS01"
"CD1C"	"CD1C"	0.678288251350173	-0.678288251350173	"S01"	0.678288251350173	"IS01"
"PYROXD2"	"PYROXD2"	0.674286243859576	-0.674286243859576	"S01"	0.674286243859576	"IS01"
"FBXL17"	"FBXL17"	0.672375710250387	-0.672375710250387	"S01"	0.672375710250387	"IS01"
"APBB1IP"	"APBB1IP"	0.671002644310365	-0.671002644310365	"S01"	0.671002644310365	"IS01"
"POLR2B"	"POLR2B"	0.670749814213008	-0.670749814213008	"S01"	0.670749814213008	"IS01"
"ZC3H8"	"ZC3H8"	0.669444652839177	-0.669444652839177	"S01"	0.669444652839177	"IS01"
"EIF3F"	"EIF3F"	0.668879586277634	-0.668879586277634	"S01"	0.668879586277634	"IS01"
"BLOC1S2"	"BLOC1S2"	0.668307334489762	-0.668307334489762	"S01"	0.668307334489762	"IS01"
"BTK"	"BTK"	0.667840262015152	-0.667840262015152	"S01"	0.667840262015152	"IS01"
