NAME	B_preGC	HRS	T_CD8	B_Memory	Plasma	DC_Conventional	T_gd	T_Treg	B_GC	T_MKI67	NK	T_CD4	DC_Plasmacytoid	Macrophage	ILC	CAF
SLC22A23	2.53730054546338346	7.98171227600110456	3.22432034993004812	3.84384363848632793	9.56679067754891399	194.33882846140934930	1.00000000000000000	1.00000000000000000	1.25557236580025799	4.12191676061069412	1.00000000000000000	25.99016569352133743	48.31796271671856857	17.24714445780378469	1.00000000000000000	32.96533837451856641
SLC22A31	1.15022226249781978	1.00000000000000000	1.00000000000000000	1.32982966919265189	36.26764935467477358	4.29715508274870306	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	19.38758999118791237	4.35685127470280786	11.26820712264618685	1.00000000000000000	28.84607841488594815
SLC24A4	1.00000000000000000	2.69401477536159950	2.52079411779855800	1.00000000000000000	1.00000000000000000	214.67710843779678953	1.00000000000000000	1.00000000000000000	1.24257744947569049	1.50944494314427669	2.46455686454911449	1.00000000000000000	1.00000000000000000	97.29924913641346507	1.00000000000000000	8.56572644968320596
SLC25A23	24.48653864400944968	125.47303079462282938	104.59101896545533350	114.14717360572348070	67.19952903734707661	19.26820428887048919	49.28020351715397851	175.08553627303811595	20.33235330666447638	98.20235377130605059	27.07712441105656964	158.73820464905983840	10.04300874251799947	3.73030591443993709	22.33241326878644628	141.17236201267655815
SLC25A48	1.00000000000000000	2.71791976950348158	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	10.18704415060286372	1.00000000000000000	3.39969846772485473
SLC26A11	23.46343008949148512	32.07098569945267030	53.58525168029284202	20.14458740543542703	8.68383187130857692	20.57265222211262667	16.34925747007975971	181.44877699038497099	7.61194368529369569	32.02282089952043265	39.24924226685121198	103.82186261251888482	3.42328882879262153	31.87424281251115232	55.56022941453927899	212.95758335694372931
SLC26A7	1.26237896257534388	1.00000000000000000	1.00000000000000000	4.44988063649760512	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.38045015166836071	1.42918816203723731	1.00000000000000000	306.35389088321949203
SLC28A3	2.01612808236473118	1.77814526988908161	17.69531480538792323	3.96936194449100732	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	3.02805893341077148	26.36059059751732292	5.18437937989306263	2.31659900239622019	1.00000000000000000	11.61570861976042579	5.34493620943808256	2.10580002711749437
SLC29A1	37.08816644055062284	257.99775385381525439	14.64141273118237052	47.22056856919501655	71.88807615681292873	25.05236178594450180	11.17795158615171225	11.52259279791395663	101.35799288430237652	303.82089928145853719	33.33606368130909914	16.87802896120459195	821.72122372529418044	63.46965329833804503	44.22841541133853838	422.34865515184901597
SLC2A5	160.19924100858708016	166.19530098742194468	4.15544241775697021	92.19180952770722115	169.57718319733405110	10.32135376704015783	1.00000000000000000	1.77936435864872866	641.92146153529256480	2.56854807002853303	2.60623094530315846	2.12686478369259380	4.61819756784132274	13.69885218478368927	15.42188615426364606	160.17295914618406982
SLC2A9	4.30795908469013344	117.11595451636542009	5.22227186424931844	3.64110533891518973	3.02085356624005152	58.39761284466879232	7.53277345798259912	6.74663264985035305	3.66349574972260328	7.22085948157306934	5.41857825836199769	3.65639670242651160	113.49862680152941152	42.98916188151459039	1.00000000000000000	46.19840288562115660
SLC30A3	1.46431413920998899	2.75387065197899261	1.40628584316006267	1.00000000000000000	1.20301292212236977	1.00000000000000000	1.00000000000000000	4.75258785150565544	1.69525026314462646	16.83770044895532436	1.00000000000000000	2.32333162117373426	1.00000000000000000	1.00000000000000000	1.00000000000000000	5.69711277168969943
SLC32A1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.70147432026626078	152.08383770177411520	1.00000000000000000	1.00000000000000000	2.18370691549547447
SLC35F3	1.29587770240720457	20.55869111725488096	3.06345419332864743	2.55160007304555458	1.00000000000000000	11.71595261923125619	12.88316613586141735	109.56291575467722055	1.00000000000000000	146.31028140159477857	2.21927642965962280	54.84051390651404034	867.03372741554176173	2.38212609186827562	10.65228776921003018	2.18370691549547447
SLC35G2	3.35103495862373579	34.47568163517329509	15.30311013459951042	1.55145687241789787	3.74552548825473730	1.89303037199231694	3.99217504094599107	6.23553267395892519	4.84402791281412171	3.63690752939058548	4.99157572447098197	3.04128226258363465	2.48298844802832441	1.20963859663616669	4.41044156155740730	79.34877841510697749
SLC38A11	127.45746149524894975	1.00000000000000000	1.00000000000000000	43.76096874203307863	1.48990836884342315	21.61644128025919542	1.00000000000000000	1.00000000000000000	2.39482583352850176	1.00000000000000000	1.00000000000000000	1.00000000000000000	5.59463062739187666	1.00000000000000000	1.00000000000000000	6.88015917742051819
SLC38A5	92.55172507104126112	154.53314501407322723	112.79395593615383575	58.80069592783220145	247.81580345658775855	13.18706414052713605	89.59250203181836980	53.74585148666638901	14.29505522232275361	186.56188213982022717	85.28184204225966880	73.31293049605194767	97.79585036025756040	6.05560064656880215	18.84355919508786315	50.08192043835170182
