"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"HHIPL1"	"HHIPL1"	-0.812755156674146	0.812755156674146	"S02"	0.812755156674146	"IS02"
"NXPH3"	"NXPH3"	-0.805663897393074	0.805663897393074	"S02"	0.805663897393074	"IS02"
"ACVRL1"	"ACVRL1"	-0.803946238029491	0.803946238029491	"S02"	0.803946238029491	"IS02"
"NENF"	"NENF"	-0.803027259913578	0.803027259913578	"S02"	0.803027259913578	"IS02"
"SORBS3"	"SORBS3"	-0.797493295757541	0.797493295757541	"S02"	0.797493295757541	"IS02"
"ARFIP2"	"ARFIP2"	-0.79116802408751	0.79116802408751	"S02"	0.79116802408751	"IS02"
"TGIF1"	"TGIF1"	-0.785290134602493	0.785290134602493	"S02"	0.785290134602493	"IS02"
"NUMBL"	"NUMBL"	-0.782167123471834	0.782167123471834	"S02"	0.782167123471834	"IS02"
"SPEF2"	"SPEF2"	-0.777299721375181	0.777299721375181	"S02"	0.777299721375181	"IS02"
"PLEKHA7"	"PLEKHA7"	-0.772867730623979	0.772867730623979	"S02"	0.772867730623979	"IS02"
"SULT1A1"	"SULT1A1"	-0.771722894179382	0.771722894179382	"S02"	0.771722894179382	"IS02"
"SOCS5"	"SOCS5"	-0.762259853763293	0.762259853763293	"S02"	0.762259853763293	"IS02"
"ARHGAP1"	"ARHGAP1"	-0.756244916280739	0.756244916280739	"S02"	0.756244916280739	"IS02"
"SULT1C4"	"SULT1C4"	-0.749379930639829	0.749379930639829	"S02"	0.749379930639829	"IS02"
"SPTBN1"	"SPTBN1"	-0.729944305601826	0.729944305601826	"S02"	0.729944305601826	"IS02"
"KLF6"	"KLF6"	-0.728420943568737	0.728420943568737	"S02"	0.728420943568737	"IS02"
"STARD8"	"STARD8"	-0.727043565587408	0.727043565587408	"S02"	0.727043565587408	"IS02"
"PHLPP1"	"PHLPP1"	-0.724951313837723	0.724951313837723	"S02"	0.724951313837723	"IS02"
"ARF4"	"ARF4"	-0.713063064867975	0.713063064867975	"S02"	0.713063064867975	"IS02"
"PTMS"	"PTMS"	-0.707797897750302	0.707797897750302	"S02"	0.707797897750302	"IS02"
"STK36"	"STK36"	-0.692277382093959	0.692277382093959	"S02"	0.692277382093959	"IS02"
"TSC22D3"	"TSC22D3"	-0.6839358647971	0.6839358647971	"S02"	0.6839358647971	"IS02"
"SLC29A1"	"SLC29A1"	-0.67920722573949	0.67920722573949	"S02"	0.67920722573949	"IS02"
"TPRN"	"TPRN"	-0.66783035896891	0.66783035896891	"S02"	0.66783035896891	"IS02"
"ZNF334"	"ZNF334"	-0.661470397135716	0.661470397135716	"S02"	0.661470397135716	"IS02"
"TNFRSF10B"	"TNFRSF10B"	-0.658747469571968	0.658747469571968	"S02"	0.658747469571968	"IS02"
"TMEM220"	"TMEM220"	-0.656518239613142	0.656518239613142	"S02"	0.656518239613142	"IS02"
"ARHGAP21"	"ARHGAP21"	-0.641492949117798	0.641492949117798	"S02"	0.641492949117798	"IS02"
"TCF4"	"TCF4"	-0.641433507724196	0.641433507724196	"S02"	0.641433507724196	"IS02"
"SUN1"	"SUN1"	-0.636650573558985	0.636650573558985	"S02"	0.636650573558985	"IS02"
"CYTH2"	"CYTH2"	-0.632619586448272	0.632619586448272	"S02"	0.632619586448272	"IS02"
"MYO15B"	"MYO15B"	-0.626952171488005	0.626952171488005	"S02"	0.626952171488005	"IS02"
"GPR183"	"GPR183"	-0.626112868475863	0.626112868475863	"S02"	0.626112868475863	"IS02"
"WIZ"	"WIZ"	-0.619864227301137	0.619864227301137	"S02"	0.619864227301137	"IS02"
"ZNF251"	"ZNF251"	-0.616191877348399	0.616191877348399	"S02"	0.616191877348399	"IS02"
"TBCD"	"TBCD"	-0.615461855250934	0.615461855250934	"S02"	0.615461855250934	"IS02"
"SFXN3"	"SFXN3"	-0.595204374401662	0.595204374401662	"S02"	0.595204374401662	"IS02"
"C14orf80"	"C14orf80"	-0.588092652633425	0.588092652633425	"S02"	0.588092652633425	"IS02"
