"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"SF1"	"SF1"	0.870611110155065	-0.791779720788279	-0.338298209242742	"S01"	0.870611110155065	"IS01"
"TXK"	"TXK"	0.869841859245361	-0.876092314739575	-0.25831550523635	"S01"	0.869841859245361	"IS01"
"GNG4"	"GNG4"	0.863829682733335	-0.237966865313616	-0.848983222536925	"S01"	0.863829682733335	"IS01"
"SUSD4"	"SUSD4"	0.863266618961476	-0.283871344379778	-0.805257170708467	"S01"	0.863266618961476	"IS01"
"GZMM"	"GZMM"	0.863231719955834	0.0587269467577325	-1.12633875411982	"S01"	0.863231719955834	"IS01"
"SF3B3"	"SF3B3"	0.863023951215298	-0.599057095732472	-0.509525494739034	"S01"	0.863023951215298	"IS01"
"CENPC"	"CENPC"	0.860195360567636	-1.02403996677487	-0.107669373203222	"S01"	0.860195360567636	"IS01"
"GOLGA8B"	"GOLGA8B"	0.851027204390088	-0.752006641971431	-0.351274259326842	"S01"	0.851027204390088	"IS01"
"TC2N"	"TC2N"	0.848607237066195	-1.11847713206994	-0.00477018807698976	"S01"	0.848607237066195	"IS01"
"WBP2NL"	"WBP2NL"	0.845259661382754	-0.222801620652846	-0.840152066391855	"S01"	0.845259661382754	"IS01"
"TAS2R3"	"TAS2R3"	0.844298358826799	-0.460696919260176	-0.615974583100729	"S01"	0.844298358826799	"IS01"
"IL22RA2"	"IL22RA2"	0.844175207100587	-0.389109577273894	-0.682922134729072	"S01"	0.844175207100587	"IS01"
"ZNF780B"	"ZNF780B"	0.843348370493611	-0.814832330452241	-0.28285673352772	"S01"	0.843348370493611	"IS01"
"RIBC1"	"RIBC1"	0.842736705143885	-0.0329135484921886	-1.01500726868019	"S01"	0.842736705143885	"IS01"
"FAM120B"	"FAM120B"	0.842339102800206	-0.567689398961716	-0.513256697781668	"S01"	0.842339102800206	"IS01"
"AC074033.1"	"AC074033.1"	0.840858285016608	0.263375445032005	-1.29039427455488	"S01"	0.840858285016608	"IS01"
"RPL30"	"RPL30"	0.839993937513138	-0.702238874658327	-0.384230112302374	"S01"	0.839993937513138	"IS01"
"SERTAD2"	"SERTAD2"	0.838465094842536	-0.45463512822206	-0.614417202644874	"S01"	0.838465094842536	"IS01"
"SLC38A1"	"SLC38A1"	0.838000857740861	-1.39437658330142	0.266999208758541	"S01"	0.838000857740861	"IS01"
"HTR6"	"HTR6"	0.8376712496602	0.0973520436557933	-1.13082170574	"S01"	0.8376712496602	"IS01"
"PRKACB"	"PRKACB"	0.837477942676812	-0.993319984613256	-0.108270988297032	"S01"	0.837477942676812	"IS01"
"ERICH5"	"ERICH5"	0.835803088397955	-0.127418100947274	-0.917821282320501	"S01"	0.835803088397955	"IS01"
"ZNF83"	"ZNF83"	0.832790573714632	-0.658739906808403	-0.416063089943387	"S01"	0.832790573714632	"IS01"
"RPL22L1"	"RPL22L1"	0.831693089722896	-0.250738982492607	-0.797129300977851	"S01"	0.831693089722896	"IS01"
"MLLT6"	"MLLT6"	0.831486139705527	-1.04755684823859	-0.0499976050861273	"S01"	0.831486139705527	"IS01"
"THYN1"	"THYN1"	0.830058583092509	-0.163859631654078	-0.876534757780357	"S01"	0.830058583092509	"IS01"
"USP48"	"USP48"	0.828014966394662	-1.11619607264677	0.0186472607956459	"S01"	0.828014966394662	"IS01"
"CCDC66"	"CCDC66"	0.826993910159133	-0.85928534368866	-0.220893644420938	"S01"	0.826993910159133	"IS01"
"RFESD"	"RFESD"	0.82544804455988	-0.369440947677596	-0.67811708383007	"S01"	0.82544804455988	"IS01"
"TRAT1"	"TRAT1"	0.825331503063442	-1.17324130858019	0.0754472586565435	"S01"	0.825331503063442	"IS01"
