"cHL07"	"cHL101"	"cHL102"	"cHL103"	"cHL104"	"cHL107"	"cHL108"	"cHL109"	"cHL110"	"cHL111"	"cHL113"	"cHL114"	"cHL116"	"cHL117"	"cHL118"	"cHL120"	"cHL121"	"cHL122"	"cHL123"	"cHL19"	"cHL21"	"cHL22"	"cHL32"	"cHL33"	"cHL49"	"cHL60"	"cHL63"	"cHL68"	"cHL74"	"cHL89"	"cHL93"	"cHL96"	"cHL99"	"HL021"	"HL356"	"HL360"	"HL370"	"HL382"	"HL387"	"HL419"	"cHL124"	"cHL04"	"cHL05"	"cHL06"	"cHL11"	"cHL14"	"cHL17"	"cHL35"	"cHL36"	"cHL39"	"cHL41"	"cHL42"	"cHL46"	"cHL52"	"cHL53"	"cHL54"	"cHL55"	"cHL56"	"cHL57"	"cHL62"	"cHL69"	"cHL72"	"cHL73"	"HL002"	"HL006"	"HL010"	"HL031"	"HL032"	"HL150"	"HL359"	"HL363"	"HL376"	"HL383"	"cHL136"	"cHL138"
"FAM133B"	1.19418074545183	1.21058691047214	1.35436837881669	-0.761214151257659	1.37997348440096	1.30705464821422	1.31940790247814	1.51510589141836	1.05926922093822	1.33406409614468	1.35527159117334	1.16326232385968	1.31396157859883	1.54604831603894	1.28239700895122	-0.0257488047423245	1.34890278687753	1.55174842305834	1.42717126994073	0.632011505977106	1.06466898317477	0.475176501838928	0.545012430500905	0.133032441795922	0.498069101620148	-0.136086505793968	-0.312466499853511	0.340577877366496	-0.356151666520844	0.0617945559413744	1.04964274822068	-1.21367853686346	1.77558223682987	-0.575462800399701	-0.212238532316757	-0.297205552451613	0.950644248637285	1.21597478748995	1.39350997437983	-0.0535572453420688	1.11360191440688	0.476929243446166	-0.556596700876272	-0.236304125698316	0.771770258057616	0.388616607610253	1.20875160277646	-0.570580889732267	1.20880078164153	-0.456073984061392	-1.03165750567692	0.777836286378837	0.138633999038123	1.21760348438214	0.471691249713597	1.15672262699949	-0.0156781794960917	0.457514028573299	-0.218074579061038	0.487724278482295	1.33271369839568	-0.0443639628150664	0.0756961820404849	-0.521185694513406	0.242749204488878	-1.01450678183861	0.0736490661868463	-0.831955538267471	-1.07050990052323	0.763800738805841	-0.809533896927964	0.000263690224751104	1.17269369333788	-0.119431937076999	0.512940261308922
"SEC22C"	-0.958368245737668	1.41287506958611	1.23582439288148	-0.25060329840908	1.17581152079024	2.18754937235549	1.19077611556317	1.44640831482187	1.34387592654173	-1.64275298522466	-0.455014599478298	-0.724885357986783	1.27715427316104	1.38526087479486	-0.430726020887019	1.35300711275778	1.58516161554993	-0.864269957534193	1.67380963847477	1.13588760099084	-0.277803038241724	1.21374096976605	-0.707073115990407	-1.11250421619265	1.63264831513623	1.12115880601412	-0.859909122167265	-0.22845527178826	0.0796064486152156	1.25886618880066	1.12741860032279	2.79075705298839	1.99715519607021	-0.729141488105871	1.58434109921688	1.45615856264233	1.63690705181576	0.460355056407992	1.54960559380918	1.16471237930952	1.19487007997154	-0.179908655900529	-0.586810997751578	-0.600087633909803	-0.604927536384007	-1.11977137712568	-0.761882219088707	-0.61742988432721	-1.50134427334235	1.23646049866673	-0.235379938354213	1.385684993669	-0.807067844956688	-0.685757796780346	-0.990027969152177	-1.0261602188648	1.07367198791269	-0.65604822687476	0.672235340683462	0.372910512682913	-0.708698237038741	0.612216759690474	-0.434251355183649	-0.132146339838834	-0.670831658893343	-0.706510900574173	-0.359262301088174	1.38206306945197	-1.19640872172737	1.08112066102326	-1.05645855314847	1.44581527418512	2.15534225679248	-0.750789200975702	1.4459545015184
"TRNAU1AP"	0.559328809041138	-0.105797352790072	-0.0167468328850234	1.38027396577745	1.77341579578641	1.26519287879608	1.54680060849064	-0.273829285931906	-0.722930237357526	-0.401689888385453	1.66238634317165	1.06366222773861	1.152767800842	-0.439155145838138	1.53151966904379	1.50781430460965	1.54473554620115	-1.28146184887782	-0.252396987912616	-0.251493024518181	0.801826657916519	1.29819277994646	1.57336285665657	-0.723772024487159	1.33616329963963	0.423586786448215	-0.478056013072811	1.19762427208667	1.38918575179452	-0.2724234366716	2.01386432267772	2.2280107179515	-0.609101768332978	0.180179724593433	1.61442581294482	1.38473112389744	-0.247243300674883	1.37782765256422	-0.07864411027521	1.53001751883975	1.85393442316756	-0.906485966443001	1.35756981782492	-0.0361590337332394	1.33857197955541	-0.616171221358262	-1.4115184310165	1.21044597320648	1.32811542910954	1.11278033615748	-0.782690751536121	0.341074896233617	-0.224745561231111	-1.13337369179757	-0.793920440614183	0.0927092113390276	0.0606200996386646	-0.0680446286248084	-0.200369201952891	-0.726234551635847	-1.29761611028585	-0.411087380929348	-1.02088187906995	-0.472762640706136	-0.592292829074823	-0.959618617162138	-0.640396852182994	-1.01126357116991	-1.0669512800163	-1.44012687510104	1.24691378198149	-0.902630474970307	1.46025114553518	-0.40364564500986	1.4091882807078
"BBIP1"	1.08721461927315	1.2363476158324	0.256098666414923	1.05776526753832	-0.910829155643509	1.20374454682195	1.23198276167079	0.262523777090517	-1.01413918168255	-0.0264130777131547	1.0487565360386	-0.349942236224515	1.18902688442567	1.3024611821754	1.24264781599677	1.21109653966404	1.34906525058827	1.21184223983071	0.0547660426431359	1.22100757173118	-0.533977413163415	1.20518695369358	1.18363983463163	-0.427279296935911	-0.474000513965712	1.1589488756842	0.13965095021518	-0.403539578216986	1.31103138950151	0.834996187544694	0.425245995018455	1.74078920556578	1.73557892617935	1.24426808077752	1.2937887102722	1.20469259615357	-0.564706235129146	1.26269430903417	0.321930617246353	1.22850378459914	0.469399240202149	0.25680796822287	-0.463258324846288	0.105881165805028	-0.498766907511273	0.459655118326991	-0.0610747279545471	-0.784823960171194	-0.172799949394236	-0.143402978610249	1.39406773158478	0.249990231447503	-0.520312820162684	-0.727422264722895	-0.166040929002068	0.531239089444659	0.282173696046055	0.243396051787447	-1.01412440959966	-1.13761351052587	0.275368616718814	-0.628909889342286	1.33457336368488	0.561748868485855	1.19553266645328	-0.367396928113182	0.264693414054877	0.196719506912103	1.14888128495103	0.474761413626233	0.331184839093883	-0.486472756730917	1.10195055893426	-0.0348566533894855	1.25555953231991
"CHCHD7"	1.05406010641391	-0.11530919656828	0.999602372113666	0.273016725558084	1.11887393468221	1.23920701914344	1.26856542528146	-0.0403598930545601	-0.93347446942291	1.32317828446476	1.31844464368074	-0.0271611108297015	1.24485027368686	1.12034889687169	1.32503071104503	1.31093717903803	1.19268889756802	-1.58310194509879	0.523389814301807	1.34172962799359	1.16336954842244	1.1488684281033	1.1187104066379	0.200808772445105	-0.7857492204493	0.920041453188038	0.123214078298526	0.533103223830029	1.48383304738511	1.59296169268412	1.33239980761082	-1.26293612224304	1.75256208643741	1.49519745665913	0.933357494679636	0.589918789253102	0.723055289240889	1.34278253203452	-0.874598341047329	0.681685975049874	0.0351640610882075	0.494742057240437	-1.39654531338627	-1.60877395073898	-0.256197019265279	0.694705000407028	-1.12774444081739	-1.04276977702766	0.147045413890271	0.605306124225803	0.613110890955825	-0.490618730436904	-0.850254982215692	-1.45544278579757	-0.66641677488258	0.398635173837711	-0.673063741147217	1.1944970437808	-0.0112577869072441	1.35797567230027	-1.71967161516692	0.499509052817726	-1.39329162397271	1.10673566178204	-0.621053977512903	-0.587033370683069	0.218650165928884	-0.682058018978425	-0.808119008921857	1.01784438062302	0.855690834059194	0.575208225231497	1.25135626100829	1.18786460022055	0.166318289164979
"LRCH1"	-0.829904979936447	1.72466367240197	1.14495890915416	1.13809528994098	1.39039813290236	1.2260702893646	0.504622224609038	0.847429066832904	-0.63547908566875	1.68652628772234	-0.846145820601691	1.42052134816747	1.26078436999769	1.29248744648056	1.27080276808473	1.39350172358227	1.3844381478162	-0.704816410128074	1.52294706672272	-0.57437793129303	1.58061927530584	-0.283466568848414	0.00861460999073257	-0.115514632815243	0.473485067684498	0.919874476958257	1.11198673565769	0.145648144773614	-0.235914386726068	0.961406336458845	1.64368786711465	1.94211302158505	-1.08660161096233	-0.79175473763891	0.509539961738329	1.02670044250004	1.22549254447868	1.5835700871904	-0.537289417311292	0.895141944110006	1.47234068964099	0.0101333209252214	0.136217243628056	-0.217842436946693	-0.59020972256437	0.345565039262909	0.117215314243389	0.202809138155913	0.810488773073691	1.49083698278868	-1.1681626936692	0.970181617021962	-0.173676012959291	-0.640525968331123	-0.872616831626513	-1.1765862651127	-0.0366012012962121	-0.937691224172042	0.179706107125602	-2.1593095595384	1.36504186040455	-0.723170614753513	-0.0682670704098483	-0.174696397577281	0.310634575652784	-0.480198807484684	-0.488042290910957	-0.0165754082785554	-0.473989597090855	0.0630072173817355	-0.0409544254980843	0.42774066500172	-0.388794114268578	0.20658097643027	0.131991804171035
"SEC22B"	0.101253016256712	0.776321737106856	0.395092505762792	0.933917452922284	-0.235007226977928	1.47459562840327	-0.178625848455372	1.24053179904508	1.15312017221808	1.76772220907898	0.348088768879874	1.03034856233425	0.576963093504419	0.40065391832321	1.34787048637225	1.23562049859033	2.51418704806484	0.763274166049572	1.5575762940041	1.00251197157624	-0.591950238352735	-0.0342696107771169	0.61609920371084	-0.0773343427701851	0.63158766083969	0.121356560962111	-0.294360588706384	0.966224420811155	1.04394276250844	1.73034887620005	-0.0203795175975267	-1.00662686826974	-1.09440957834552	0.363688713801993	1.52271231867873	0.737677240471843	1.52594718108086	1.96441846980081	0.875273144793922	0.202350327541758	0.664994977480314	0.458622571689186	0.769257132257478	-1.14779776025623	-0.213253514260064	1.15274130010793	0.302104796321813	0.440015417726215	-0.0589528226306052	-0.137850922916501	0.341522911761274	1.1117320557795	0.465890382808652	-0.552141561063431	1.69005104693975	-0.20172047601287	0.574127430783506	0.775683150998092	-1.21159390958838	-0.496368604910729	0.33443186683706	0.693887448038301	1.92782564721358	1.13885836396537	0.349849811109108	-1.08782452914369	1.01711656825804	-0.483077664004077	-0.350985832671679	1.08687767923709	1.45909336789967	0.957538954209255	1.40594991165732	0.690346657968926	0.225840317978219
"LIN7C"	0.215183939435551	1.62799836056594	0.910815632493625	1.54850538374638	1.3248335111267	0.897139409295706	0.912601150432923	0.990452195660822	0.926700043853605	1.61380978935694	0.294936085044877	0.769593504197572	0.0297138394876784	0.680460385729803	1.52476548676436	0.982025575470653	1.73005924973128	-1.11506366395315	1.64559275307343	0.771946365115569	0.350963436816004	0.187413543209868	-1.22313171017989	0.656591694477306	-0.630618405469728	0.924452981047225	-0.746664087689172	-0.153802901862842	0.858739496223775	0.724636345870234	0.919764280325493	-0.870673824071606	1.80919343209867	0.975634558012704	0.924944079505772	1.48767674363471	1.54397469066327	1.50538058948657	1.15194952790388	0.258667217900175	-0.910013949803339	-0.0429190335233903	-0.939238018437864	-0.869761945143589	-0.59105742273394	0.661219350995638	0.26280501876754	0.30307172991828	-0.680860498216036	1.03389463774102	0.900105815761171	0.884882213419606	0.0314310212867395	0.993108153868465	0.775653703945292	0.104993394561778	1.16543645270452	0.820896649631977	-1.6722272432364	1.3848443360226	0.392305216552137	-0.505926730806747	0.273455967698639	0.821304817750807	1.1640107763899	-0.842452851828242	1.08278186359641	-1.3367874864306	-1.01808621433664	0.864148511919405	1.11102858787111	0.845673555068686	0.915025184697856	0.102062226277959	0.928861225008142
"CCT6A"	0.102525894935085	1.03603406113132	1.25270555368711	1.17791482344173	1.06928102516565	1.30259223039512	1.2875238619467	1.26818022180181	1.18489879928226	1.22404544282039	1.20963919947786	1.03137875773075	-0.177784246937829	1.02109513649474	1.01786417540552	0.490378634518235	1.55855508171655	1.23406749970487	1.07326011325734	0.591987869286471	-0.291551499938968	0.667679281896806	1.07245114197885	1.05743642806962	0.269048588027085	-0.200524530432452	-0.711037930512805	1.24264511909447	1.00565280364083	-0.716431992400549	1.22328932036203	-1.97128798561502	1.55450427450357	1.15904854520376	-1.07085815173224	0.922960332676192	0.960639569820949	1.08166827614181	0.657146070655584	-0.392181218008109	0.486899238853701	0.301790818429759	0.331281428391525	-0.134060195489915	-0.672319554826601	-0.481267340455735	0.126325750584757	-0.432557581615455	0.807742905454235	0.418100110103882	0.146687592115979	-0.257094922023372	-0.350365988742248	-1.21111243040595	0.0368319955287561	0.243771106941684	0.394551460021833	0.457333783003273	1.08787318861574	1.15197928516693	0.0517281608552081	0.0410436248574663	1.03636045791042	0.211009499095401	-0.00416200979828284	-0.856136265887378	0.991098912433601	-1.65140722434154	-1.29672690111871	0.796620305387056	0.279440982996516	0.961436717367244	0.631816615201081	0.254063367977829	0.922928001644378
"NPIPB4"	1.05574910580467	0.455140708164372	-1.63372499008266	0.282407754331371	0.555054988609592	1.92411951827932	1.35614040816784	0.399377575549288	0.949666936945998	-0.470594861825929	0.852043356248484	0.418516002328391	1.48955392526434	0.127673109979022	0.351605639960749	0.25343643023386	-0.252466122186121	0.744674274762515	0.759453415099573	1.64145055070276	0.633193556506988	0.500221247977192	0.53814541870658	0.18083307852384	0.621316564266522	0.71772737986555	1.14748749010875	-1.37726625697031	0.855094513745628	1.26316317264898	1.57267838244748	1.89527682438062	0.178466678428561	0.394336812133726	0.413649336908059	1.52586163037124	0.337316825151211	1.47631754743825	1.64141536953638	0.40827976822651	1.75808753214934	0.602724694731989	-1.46687976411708	-0.896031574272292	-0.744863962917906	1.15867561270672	-0.572062059424607	-0.631317354906584	-0.708483936001831	1.24180340860777	-0.291756836731848	0.739004952993261	-0.43558124532825	-1.00312699456415	-1.09174261079544	0.248842633168808	0.705150636235246	-1.83121884425416	-0.372965911885297	-1.42967456718658	-0.119209939955687	-0.631783590564542	-1.45379527027366	-1.02250638202873	-0.791317996952773	-0.496763331933468	0.895864478020897	-0.671705957108402	0.0658425250099629	-1.83685111679884	0.376005304700104	-0.804284161909729	1.61065669958988	-0.923605782984991	-0.0019974446659809
