"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"SETDB2"	"SETDB2"	-0.490679691664851	0.121408458434664	0.543752722047576	-0.0394402441534402	-0.266649456751313	"S01"	0.543752722047576	"IS03"
"KLHL24"	"KLHL24"	-0.547474610198899	-0.416917143948345	0.541063982372856	0.107104080443001	0.301993831214106	"S01"	0.541063982372856	"IS03"
"RAB9A"	"RAB9A"	-0.451156604065987	-0.0506572350276374	0.540663522882647	-0.227076207117973	0.102474060339483	"S01"	0.540663522882647	"IS03"
"HYI"	"HYI"	-0.0241766178721303	-0.0722375807665196	0.540084226925339	-0.861273735632211	0.371116158579799	"S01"	0.540084226925339	"IS03"
"C1GALT1C1"	"C1GALT1C1"	-0.432151204915866	0.237621213388092	0.539314868218074	-0.655790133798356	0.170229744999355	"S01"	0.539314868218074	"IS03"
"ZNF215"	"ZNF215"	0.0406890171430907	-0.284421226927724	0.537487098854022	-0.802407364378139	0.512695793885035	"S01"	0.537487098854022	"IS03"
"C16orf70"	"C16orf70"	-0.0130346612664357	-0.171168918588103	0.537457270606398	-0.797897456693901	0.420226174052509	"S01"	0.537457270606398	"IS03"
"AGGF1"	"AGGF1"	-0.638874311659944	0.0525671967755705	0.529765311038325	0.0454280838154599	-0.111484113674786	"S01"	0.529765311038325	"IS03"
"IFT27"	"IFT27"	-0.0821990944333132	-0.0364540439995595	0.529545284930404	-0.783024416173873	0.314586825835837	"S01"	0.529545284930404	"IS03"
"BCL2L11"	"BCL2L11"	-0.374535196819396	0.173473844472017	0.528024014122783	-0.403905324598245	-0.0505149387982127	"S01"	0.528024014122783	"IS03"
"WDR92"	"WDR92"	-0.613274335436885	0.273455916939168	0.526857686591551	-0.577839487384435	0.233524289787359	"S01"	0.526857686591551	"IS03"
"POLR3F"	"POLR3F"	-0.343673987085963	0.00337550496888063	0.526802961360475	-0.447038506939427	0.174520536218605	"S01"	0.526802961360475	"IS03"
"SNX25"	"SNX25"	-0.443112715213932	0.270234931810251	0.525696472455919	-0.789395816311536	0.29292666509993	"S01"	0.525696472455919	"IS03"
"SRP68"	"SRP68"	-0.529434832185211	0.00451791005206224	0.524591191934437	0.140419482147541	-0.248002152544885	"S01"	0.524591191934437	"IS03"
"OAS1"	"OAS1"	-0.192134268636396	-0.107738429382005	0.523039718071238	0.00901681402836934	-0.295549916727762	"S01"	0.523039718071238	"IS03"
"POLR2D"	"POLR2D"	-0.599127883370371	0.29195281288834	0.520056707202661	-0.393045766506887	0.0161552971284229	"S01"	0.520056707202661	"IS03"
"ZNF3"	"ZNF3"	-0.312424819079044	-0.47458087012474	0.518723355230866	0.0330529261638168	0.2501498060603	"S01"	0.518723355230866	"IS03"
"GTPBP10"	"GTPBP10"	-0.765674487322802	0.00953054366335289	0.518391031636814	-0.04660015603311	0.169486620113504	"S01"	0.518391031636814	"IS03"
"MYO9A"	"MYO9A"	-0.662544709047525	-0.535331434592709	0.517331442534594	0.408950647244477	0.275783576618692	"S01"	0.517331442534594	"IS03"
"MZB1"	"MZB1"	0.124024436586994	-0.0961393587221052	0.512704975620531	-0.733420054605258	0.15992156924226	"S01"	0.512704975620531	"IS03"
"MRPS27"	"MRPS27"	-0.637269197772451	-0.0370425031017501	0.507717217775406	0.239620117847199	-0.176166373852199	"S01"	0.507717217775406	"IS03"
"RUFY4"	"RUFY4"	0.331874336184969	-0.0666112320238014	0.506829587778913	-0.396192070720309	-0.412647257027659	"S01"	0.506829587778913	"IS03"
"PRPF3"	"PRPF3"	0.142527721668859	-0.650941097585107	0.506378839675761	0.340113826804529	-0.266822987083411	"S01"	0.506378839675761	"IS03"
"STK11IP"	"STK11IP"	0.410498472171552	-0.243734112189019	0.505781076165908	-0.546943782859475	-0.114662830103766	"S01"	0.505781076165908	"IS03"
"UQCRB"	"UQCRB"	-0.486850377509825	0.382861939895676	0.504577720114816	-0.738727212521024	0.168765208481339	"S01"	0.504577720114816	"IS03"
"CENPA"	"CENPA"	-0.0108817123677169	0.366242138361915	0.504149743354775	-0.771920173194885	-0.230207422743877	"S01"	0.504149743354775	"IS03"
"DNAAF2"	"DNAAF2"	0.0360955927555745	-0.144860133104202	0.502712263006085	-0.387964641318205	-0.0381856216980719	"S01"	0.502712263006085	"IS03"
"TATDN3"	"TATDN3"	-0.644796039975509	0.301301940683773	0.49886513151937	-0.47952289617	0.161038848069718	"S01"	0.49886513151937	"IS03"
"MBTD1"	"MBTD1"	-0.577534348190916	-0.0175592936488843	0.498285368574434	-0.292065369139313	0.297544367738926	"S01"	0.498285368574434	"IS03"
"ZNF256"	"ZNF256"	-0.794743115083896	0.454759182923775	0.497444971005941	-0.552736907807434	0.192016421573853	"S01"	0.497444971005941	"IS03"
"WDR41"	"WDR41"	-0.291881441629255	-0.0581070769061719	0.497307896418378	-0.534788891407773	0.324342177285753	"S01"	0.497307896418378	"IS03"
"EIF1AD"	"EIF1AD"	0.220965731129484	0.265809002519518	0.496600919300704	-0.991007652796747	-0.0951560827676432	"S01"	0.496600919300704	"IS03"
"PWP1"	"PWP1"	0.258635950041896	-0.375305792599245	0.494570263775194	0.289341452521506	-0.6506006197369	"S01"	0.494570263775194	"IS03"
"HADHB"	"HADHB"	-0.432004188864277	-0.0734764677935953	0.494205238953909	-0.545280436298739	0.491125483794517	"S01"	0.494205238953909	"IS03"
